,filenames,labels_code,labels
0,img001-001.png,img001,0
1,img001-002.png,img001,0
2,img001-003.png,img001,0
3,img001-004.png,img001,0
4,img001-007.png,img001,0
5,img001-008.png,img001,0
6,img001-009.png,img001,0
7,img001-010.png,img001,0
8,img001-011.png,img001,0
9,img001-012.png,img001,0
10,img001-013.png,img001,0
11,img001-014.png,img001,0
12,img001-016.png,img001,0
13,img001-017.png,img001,0
14,img001-018.png,img001,0
15,img001-019.png,img001,0
16,img001-021.png,img001,0
17,img001-024.png,img001,0
18,img001-025.png,img001,0
19,img001-026.png,img001,0
20,img001-027.png,img001,0
21,img001-029.png,img001,0
22,img001-030.png,img001,0
23,img001-033.png,img001,0
24,img001-034.png,img001,0
25,img001-036.png,img001,0
26,img001-037.png,img001,0
27,img001-042.png,img001,0
28,img001-043.png,img001,0
29,img001-044.png,img001,0
30,img001-045.png,img001,0
31,img001-046.png,img001,0
32,img001-047.png,img001,0
33,img001-049.png,img001,0
34,img001-050.png,img001,0
35,img001-051.png,img001,0
36,img001-052.png,img001,0
37,img001-053.png,img001,0
38,img001-054.png,img001,0
39,img001-055.png,img001,0
40,img002-001.png,img002,1
41,img002-002.png,img002,1
42,img002-003.png,img002,1
43,img002-004.png,img002,1
44,img002-006.png,img002,1
45,img002-007.png,img002,1
46,img002-008.png,img002,1
47,img002-009.png,img002,1
48,img002-010.png,img002,1
49,img002-011.png,img002,1
50,img002-012.png,img002,1
51,img002-013.png,img002,1
52,img002-017.png,img002,1
53,img002-018.png,img002,1
54,img002-019.png,img002,1
55,img002-020.png,img002,1
56,img002-021.png,img002,1
57,img002-024.png,img002,1
58,img002-025.png,img002,1
59,img002-026.png,img002,1
60,img002-028.png,img002,1
61,img002-031.png,img002,1
62,img002-032.png,img002,1
63,img002-034.png,img002,1
64,img002-035.png,img002,1
65,img002-037.png,img002,1
66,img002-038.png,img002,1
67,img002-040.png,img002,1
68,img002-041.png,img002,1
69,img002-042.png,img002,1
70,img002-043.png,img002,1
71,img002-045.png,img002,1
72,img002-046.png,img002,1
73,img002-047.png,img002,1
74,img002-048.png,img002,1
75,img002-049.png,img002,1
76,img002-050.png,img002,1
77,img002-052.png,img002,1
78,img002-053.png,img002,1
79,img002-055.png,img002,1
80,img003-002.png,img003,2
81,img003-003.png,img003,2
82,img003-004.png,img003,2
83,img003-005.png,img003,2
84,img003-006.png,img003,2
85,img003-008.png,img003,2
86,img003-009.png,img003,2
87,img003-010.png,img003,2
88,img003-011.png,img003,2
89,img003-012.png,img003,2
90,img003-015.png,img003,2
91,img003-016.png,img003,2
92,img003-017.png,img003,2
93,img003-019.png,img003,2
94,img003-020.png,img003,2
95,img003-022.png,img003,2
96,img003-023.png,img003,2
97,img003-025.png,img003,2
98,img003-026.png,img003,2
99,img003-027.png,img003,2
100,img003-028.png,img003,2
101,img003-030.png,img003,2
102,img003-031.png,img003,2
103,img003-032.png,img003,2
104,img003-033.png,img003,2
105,img003-036.png,img003,2
106,img003-037.png,img003,2
107,img003-039.png,img003,2
108,img003-040.png,img003,2
109,img003-041.png,img003,2
110,img003-042.png,img003,2
111,img003-044.png,img003,2
112,img003-045.png,img003,2
113,img003-047.png,img003,2
114,img003-048.png,img003,2
115,img003-049.png,img003,2
116,img003-050.png,img003,2
117,img003-053.png,img003,2
118,img003-054.png,img003,2
119,img003-055.png,img003,2
120,img004-001.png,img004,3
121,img004-002.png,img004,3
122,img004-003.png,img004,3
123,img004-006.png,img004,3
124,img004-007.png,img004,3
125,img004-008.png,img004,3
126,img004-009.png,img004,3
127,img004-011.png,img004,3
128,img004-012.png,img004,3
129,img004-013.png,img004,3
130,img004-014.png,img004,3
131,img004-016.png,img004,3
132,img004-018.png,img004,3
133,img004-020.png,img004,3
134,img004-021.png,img004,3
135,img004-022.png,img004,3
136,img004-023.png,img004,3
137,img004-024.png,img004,3
138,img004-025.png,img004,3
139,img004-026.png,img004,3
140,img004-027.png,img004,3
141,img004-028.png,img004,3
142,img004-029.png,img004,3
143,img004-030.png,img004,3
144,img004-031.png,img004,3
145,img004-033.png,img004,3
146,img004-034.png,img004,3
147,img004-035.png,img004,3
148,img004-036.png,img004,3
149,img004-038.png,img004,3
150,img004-039.png,img004,3
151,img004-040.png,img004,3
152,img004-041.png,img004,3
153,img004-042.png,img004,3
154,img004-044.png,img004,3
155,img004-047.png,img004,3
156,img004-048.png,img004,3
157,img004-049.png,img004,3
158,img004-050.png,img004,3
159,img004-055.png,img004,3
160,img005-001.png,img005,4
161,img005-002.png,img005,4
162,img005-004.png,img005,4
163,img005-005.png,img005,4
164,img005-007.png,img005,4
165,img005-008.png,img005,4
166,img005-009.png,img005,4
167,img005-011.png,img005,4
168,img005-012.png,img005,4
169,img005-013.png,img005,4
170,img005-014.png,img005,4
171,img005-016.png,img005,4
172,img005-017.png,img005,4
173,img005-020.png,img005,4
174,img005-021.png,img005,4
175,img005-022.png,img005,4
176,img005-023.png,img005,4
177,img005-024.png,img005,4
178,img005-025.png,img005,4
179,img005-027.png,img005,4
180,img005-029.png,img005,4
181,img005-031.png,img005,4
182,img005-032.png,img005,4
183,img005-033.png,img005,4
184,img005-034.png,img005,4
185,img005-036.png,img005,4
186,img005-037.png,img005,4
187,img005-038.png,img005,4
188,img005-042.png,img005,4
189,img005-044.png,img005,4
190,img005-045.png,img005,4
191,img005-046.png,img005,4
192,img005-047.png,img005,4
193,img005-048.png,img005,4
194,img005-049.png,img005,4
195,img005-050.png,img005,4
196,img005-051.png,img005,4
197,img005-052.png,img005,4
198,img005-054.png,img005,4
199,img005-055.png,img005,4
200,img006-001.png,img006,5
201,img006-003.png,img006,5
202,img006-004.png,img006,5
203,img006-005.png,img006,5
204,img006-006.png,img006,5
205,img006-007.png,img006,5
206,img006-008.png,img006,5
207,img006-009.png,img006,5
208,img006-010.png,img006,5
209,img006-011.png,img006,5
210,img006-012.png,img006,5
211,img006-014.png,img006,5
212,img006-015.png,img006,5
