filenames,labels_code,labels
img001-001.png,img001,0
img001-002.png,img001,0
img001-003.png,img001,0
img001-004.png,img001,0
img001-007.png,img001,0
img001-008.png,img001,0
img001-009.png,img001,0
img001-010.png,img001,0
img001-011.png,img001,0
img001-012.png,img001,0
img001-013.png,img001,0
img001-014.png,img001,0
img001-016.png,img001,0
img001-017.png,img001,0
img001-018.png,img001,0
img001-019.png,img001,0
img001-021.png,img001,0
img001-024.png,img001,0
img001-025.png,img001,0
img001-026.png,img001,0
img001-027.png,img001,0
img001-029.png,img001,0
img001-030.png,img001,0
img001-033.png,img001,0
img001-034.png,img001,0
img001-036.png,img001,0
img001-037.png,img001,0
img001-042.png,img001,0
img001-043.png,img001,0
img001-044.png,img001,0
img001-045.png,img001,0
img001-046.png,img001,0
img001-047.png,img001,0
img001-049.png,img001,0
img001-050.png,img001,0
img001-051.png,img001,0
img001-052.png,img001,0
img001-053.png,img001,0
img001-054.png,img001,0
img001-055.png,img001,0
img002-001.png,img002,1
img002-002.png,img002,1
img002-003.png,img002,1
img002-004.png,img002,1
img002-006.png,img002,1
img002-007.png,img002,1
img002-008.png,img002,1
img002-009.png,img002,1
img002-010.png,img002,1
img002-011.png,img002,1
img002-012.png,img002,1
img002-013.png,img002,1
img002-017.png,img002,1
img002-018.png,img002,1
img002-019.png,img002,1
img002-020.png,img002,1
img002-021.png,img002,1
img002-024.png,img002,1
img002-025.png,img002,1
img002-026.png,img002,1
img002-028.png,img002,1
img002-031.png,img002,1
img002-032.png,img002,1
img002-034.png,img002,1
img002-035.png,img002,1
img002-037.png,img002,1
img002-038.png,img002,1
img002-040.png,img002,1
img002-041.png,img002,1
img002-042.png,img002,1
img002-043.png,img002,1
img002-045.png,img002,1
img002-046.png,img002,1
img002-047.png,img002,1
img002-048.png,img002,1
img002-049.png,img002,1
img002-050.png,img002,1
img002-052.png,img002,1
img002-053.png,img002,1
img002-055.png,img002,1
img003-002.png,img003,2
img003-003.png,img003,2
img003-004.png,img003,2
img003-005.png,img003,2
img003-006.png,img003,2
img003-008.png,img003,2
img003-009.png,img003,2
img003-010.png,img003,2
img003-011.png,img003,2
img003-012.png,img003,2
img003-015.png,img003,2
img003-016.png,img003,2
img003-017.png,img003,2
img003-019.png,img003,2
img003-020.png,img003,2
img003-022.png,img003,2
img003-023.png,img003,2
img003-025.png,img003,2
img003-026.png,img003,2
img003-027.png,img003,2
img003-028.png,img003,2
img003-030.png,img003,2
img003-031.png,img003,2
img003-032.png,img003,2
img003-033.png,img003,2
img003-036.png,img003,2
img003-037.png,img003,2
img003-039.png,img003,2
img003-040.png,img003,2
img003-041.png,img003,2
img003-042.png,img003,2
img003-044.png,img003,2
img003-045.png,img003,2
img003-047.png,img003,2
img003-048.png,img003,2
img003-049.png,img003,2
img003-050.png,img003,2
img003-053.png,img003,2
img003-054.png,img003,2
img003-055.png,img003,2
img004-001.png,img004,3
img004-002.png,img004,3
img004-003.png,img004,3
img004-006.png,img004,3
img004-007.png,img004,3
img004-008.png,img004,3
img004-009.png,img004,3
img004-011.png,img004,3
img004-012.png,img004,3
img004-013.png,img004,3
img004-014.png,img004,3
img004-016.png,img004,3
img004-018.png,img004,3
img004-020.png,img004,3
img004-021.png,img004,3
img004-022.png,img004,3
img004-023.png,img004,3
img004-024.png,img004,3
img004-025.png,img004,3
img004-026.png,img004,3
img004-027.png,img004,3
img004-028.png,img004,3
img004-029.png,img004,3
img004-030.png,img004,3
img004-031.png,img004,3
img004-033.png,img004,3
img004-034.png,img004,3
img004-035.png,img004,3
img004-036.png,img004,3
img004-038.png,img004,3
img004-039.png,img004,3
img004-040.png,img004,3
img004-041.png,img004,3
img004-042.png,img004,3
img004-044.png,img004,3
img004-047.png,img004,3
img004-048.png,img004,3
img004-049.png,img004,3
img004-050.png,img004,3
img004-055.png,img004,3
img005-001.png,img005,4
img005-002.png,img005,4
img005-004.png,img005,4
img005-005.png,img005,4
img005-007.png,img005,4
img005-008.png,img005,4
img005-009.png,img005,4
img005-011.png,img005,4
img005-012.png,img005,4
img005-013.png,img005,4
img005-014.png,img005,4
img005-016.png,img005,4
img005-017.png,img005,4
img005-020.png,img005,4
img005-021.png,img005,4
img005-022.png,img005,4
img005-023.png,img005,4
img005-024.png,img005,4
img005-025.png,img005,4
img005-027.png,img005,4
img005-029.png,img005,4
img005-031.png,img005,4
img005-032.png,img005,4
img005-033.png,img005,4
img005-034.png,img005,4
img005-036.png,img005,4
img005-037.png,img005,4
img005-038.png,img005,4
img005-042.png,img005,4
img005-044.png,img005,4
img005-045.png,img005,4
img005-046.png,img005,4
img005-047.png,img005,4
